id,title,description,startTime,endTime,location,track,level,tags,sourceUrl,lastUpdated,createdAt
cmffpi0hr007m3z7gdb7413x0,Badge Pickup Hours,AI Recommended,2025-10-15T11:00:00.000Z,2025-10-15T23:00:00.000Z,Mandalay Bay Foyer | Level 2,AI Track,All,AI|recommended|day1,,2025-09-11T17:52:48.640Z,2025-09-11T17:52:48.640Z
cmffpi0hs007n3z7gri67hy6v,Breakfast Sponsored by Jackson,Session Sponsor | Jackson,2025-10-15T11:00:00.000Z,2025-10-15T12:30:00.000Z,Shoreline | Level 2,Networking,All,meal|sponsored|day1,,2025-09-11T17:52:48.641Z,2025-09-11T17:52:48.641Z
cmffpi0h400773z7g2ajf4qfh,WIISE Workshop: Registration Opens,Join us for WIISE Workshop: Registration Opens,2025-10-15T12:00:00.000Z,2025-10-15T13:00:00.000Z,Mandalay Bay Ballroom IWIISE Workshop,WIISE,All,workshop|day1,,2025-09-11T17:52:48.617Z,2025-09-11T17:52:48.617Z
cmffpi0ht007o3z7gw08n9nzv,"Breakfast, Bold Ideas, and the Future of Insurance Sponsored by MetLife Xcelerator",Session Sponsor,2025-10-15T12:00:00.000Z,2025-10-15T13:00:00.000Z,Mandalay Bay Ballroom F,LATAM,All,meal|sponsored|LATAM|day1,,2025-09-11T17:52:48.641Z,2025-09-11T17:52:48.641Z
cmffpi0hx007p3z7gnwu20ylw,Masterclass: Monetization Strategies for Growth In Partnership with Simon-Kucher,Join us for Masterclass: Monetization Strategies for Growth In Partnership with Simon-Kucher,2025-10-15T12:30:00.000Z,2025-10-15T16:00:00.000Z,Oceanside Ballroom BMasterclass Series,Masterclass,All,masterclass|day1,,2025-09-11T17:52:48.646Z,2025-09-11T17:52:48.646Z
cmffpi0i2007q3z7g7x5vlfwv,Mastering Monetization: Why It Matters and Strategies That Drive Growth,"Michael NadelPartner and Head of North American Insurance Practice - Simon-Kucher & Partners | Sara YamasePartner and Managing Partner of Technology, Media & Telecom - Simon-Kucher & Partners",2025-10-15T12:45:00.000Z,2025-10-15T14:00:00.000Z,Oceanside Ballroom B,Masterclass,All,masterclass|day1,,2025-09-11T17:52:48.650Z,2025-09-11T17:52:48.650Z
cmffpi0h900783z7g5f9eok9q,WIISE Workshop: Welcome and Registration,Join us for WIISE Workshop: Welcome and Registration,2025-10-15T13:00:00.000Z,2025-10-15T13:20:00.000Z,Mandalay Bay Ballroom IWIISE Workshop,WIISE,All,workshop|day1,,2025-09-11T17:52:48.621Z,2025-09-11T17:52:48.621Z
cmffpi0ie007t3z7gnrqv9zlg,ITC LATAM Opening Remarks,Join us for ITC LATAM Opening Remarks,2025-10-15T13:00:00.000Z,2025-10-15T13:10:00.000Z,Mandalay Bay Ballroom F,LATAM,All,LATAM|day1,,2025-09-11T17:52:48.663Z,2025-09-11T17:52:48.663Z
cmffpi0ia007s3z7ggydcrumf,ITC Agents & Brokers Expo Floor Open,Join us for ITC Agents & Brokers Expo Floor Open,2025-10-15T13:00:00.000Z,2025-10-15T21:00:00.000Z,Mandalay Bay Ballroom G,Agents,All,agents|brokers|day1,,2025-09-11T17:52:48.658Z,2025-09-11T17:52:48.658Z
cmffpi0i6007r3z7g9z90uu2q,Clearspeed Trust Faster Summit (Carriers Only),Session Sponsor | Clearspeed,2025-10-15T13:00:00.000Z,2025-10-15T17:00:00.000Z,Mandalay Bay Ballroom K,Summit,All,sponsored|day1,,2025-09-11T17:52:48.655Z,2025-09-11T17:52:48.655Z
