id,name,bio,company,role,imageUrl,linkedinUrl,twitterUrl,websiteUrl,profileSummary,companyProfile,expertise,achievements,lastProfileSync,createdAt
cmffpi08h00163z7ge0ae06ai,Aaron Farmer,,Farmer,Farmer,,https://www.linkedin.com/in/aaronfarmerinsurance,,,"Background: San Diego State University-California State University
- Location: San Diego
- Has established a network of over 500 professional connections

Relevant URL:
The primary professional profile can be found at: https://www.linkedin.com/in/aaronfarmerinsurance/

This profile shows that Aaron Farmer has established himself as a significant figure in the insurtech industry, particularly in specialized areas such as flood insurance and pet insurance, while maintaining a strong presence in traditional insurance sectors. His leadership spans multiple companies and services, demonstrating broad expertise in the insurance industry.",,AI|Insurtech,,2025-09-11T20:44:20.365Z,2025-09-11T17:52:48.305Z
cmffpi0cd003f3z7g5yu6l88p,Abhi Bakre,,IBM Corporation,Vice President,,,,,"Unfortunately, I was unable to find specific detailed information about Abhi Bakre's current role and responsibilities at IBM Corporation in the search results. While IBM has many vice presidents across different divisions, I cannot make specific claims about this individual's role without verified information.",,AI|Innovation,,2025-09-11T21:15:33.146Z,2025-09-11T17:52:48.445Z
cmffpi0ej004r3z7gb8d9dwjd,Adarsh Rachmale,,CoverTree,CEO,,https://www.linkedin.com/in/adarshrachmale,,,"Adarsh Rachmale is the co-founder and CEO of CoverTree, a Property and Casualty Insurtech Managing General Agent focused on Middle America and specialty insurance lines",,,,2025-09-11T21:03:35.618Z,2025-09-11T17:52:48.523Z
cmffpi0gc006n3z7g8d9ezwtj,Adrian Blidarus,,Encora,"Global Head of Insurance, President Encora Europe",,https://www.linkedin.com/in/adrian-blidarus-579a44,,,"Company Overview:
Softelligence, founded in 2006, specializes in enabling organizations in the Insurance and Banking industries to accelerate data-driven growth through next-generation InsurTech, utilizing automation, AI, and software engineering.

Expertise and Focus Areas:
The company has extensive industry knowledge and broad expertise in digital projects, including:
- Paperless quote and bind flows
- Automation of claims process through AI
- Fraud detection using machine learning algorithms
- Experience across personal and commercial lines, corporate and specialty insurance

Current Company Status:
As part of Encora Inc., the company is now backed by renowned private equity firms Advent International and Warburg Pincus. Encora provides award-winning digital engineering services, including:
- Product Engineering & Development
- Cloud Services
- Quality Engineering
- DevSecOps
- Data & Analytics
- Digital Experience
- Cybersecurity
- AI & LLM Engineering

Global Reach:
Encora's capabilities extend across diverse industries, including:
- HiTech
- Healthcare & Life Sciences
- Retail & CPG
- Energy & Utilities
- Banking Financial Services & Insurance
- Travel Transportation & Logistics
- Telecom & Media
- Automotive

The company has over 9,000 associates in 47+ offices and delivery centers across the U.S., Canada, Latin America, Europe, India, and Southeast Asia

Early Career:
Before his current roles, he was known as the owner and founder of exosyphen studios, which was the leading Romanian indie game dev studio.

This profile shows Adrian Blidarus as a seasoned technology and insurance industry leader who has successfully built and transformed companies in the InsurTech space, ultimately leading to integration with a larger global technology organization.",,AI|Machine Learning|Insurtech|Claims,,2025-09-11T20:44:28.795Z,2025-09-11T17:52:48.589Z
cmffpi0e3004f3z7grbbu5rcl,Agim Emruli,,Flowable,CEO,,https://www.linkedin.com/in/agimemruli,,,"Company Overview:
- Mimacom Flowable Group creates functional software solutions focused on improving experiences for both customers and end users.
- The company was founded over 24 years ago in Switzerland and currently has 10 locations worldwide.
- The company employs approximately 550 people.
- The company has been recognized as the best employer in several locations by Kununu in 2022 and 2023.

3. Company Culture and Operations:
- The organization is driven by a team of bright minds who believe in technology's potential to transform the way people work.
- The company operates internationally with English as the network language while maintaining local business operations in local languages, following a ""Think Global Act Local"" approach.

4. Professional Focus:
- The company is heavily involved in the automation field, organizing events like FlowFest'23 that cater to tech enthusiasts, automation experts, and business leaders.
- They work with major organizations including Triodos Investment Management, LendingPoint, and Kindred Credit Union.

5. Company Values and Work Culture:
- The company emphasizes work-life balance and offers flexibility with options to work from home office, office locations, or client sites.
- They promote ""freedom with responsibility"" as a core value in shaping the future.

Relevant URLs:
1. Company LinkedIn: https://www.linkedin.com/company/mimacom-flowable-group
2. CEO's LinkedIn presence is indicated in search results but full profile access is limited

Note: While we can confirm Agim Emruli's position as CEO of Flowable, detailed personal background information is limited in the publicly available search results. The company information provides context about the organization he leads and its focus on automation and software solutions.",,AI,,2025-09-11T20:44:25.044Z,2025-09-11T17:52:48.508Z
cmffpi0c8003a3z7g8ojpjgav,Alessandra Cox,,DXC Technology,"Product Leader, Life & Annuity",,,,,"Product Leader, Life & Annuity Insurance at DXC Technology, where she focuses on driving digital innovation in the Life Insurance industry",,Insurtech,,2025-09-11T21:04:34.984Z,2025-09-11T17:52:48.441Z
cmffpi07k00083z7g6oj6nyoe,Alex Horvitz,,HCS Capital,CEO,,,,,"HCS Capital Partners is an alternative asset manager and advisor that focuses on opportunistic investments in real estate, credit, and private equity, primarily in the United States and Latin America. The firm works with institutional investors, family offices, and high-net-worth individuals to deliver attractive risk-adjusted returns, with a strategy of identifying unique market dislocations and special situations",,Insurtech,,2025-09-11T21:05:32.550Z,2025-09-11T17:52:48.273Z
cmffpi09x001m3z7go5gi16xt,Ali el Hassouni,,MarvelX,CEO,,,,,"Founder & CEO of MarvelX AI, based in Amsterdam. The company is backed by EQT Ventures and a network of operators and investors from companies like DeepMind, Microsoft, Amazon, and Coinbase.",,Insurtech,,2025-09-11T21:06:35.443Z,2025-09-11T17:52:48.358Z
cmffpi07v000o3z7ge30tclwn,Ali Safavi,,COVU,CEO & Co-Founder,,https://www.linkedin.com/in/asafavi,,,"Ali Safavi is the CEO and Co-founder of COVU, a company focused on reimagining insurance and risk management",,Insurtech,,2025-09-11T21:07:37.711Z,2025-09-11T17:52:48.283Z
cmffpi0go006t3z7gy5kog0v5,Amy Antczak,,GreenieRE,COO,,,,,"Information about Amy Antczak and her specific role at GreenieRE is not directly available in the search results. However, the company context suggests she works within an organization focused on clean energy and sustainability finance.",,Insurtech,,2025-09-11T21:24:31.488Z,2025-09-11T17:52:48.601Z
cmffpi0fw00683z7gtqwvay9n,Andrea Collins,,Hippo,CMO,,,,,"Andrea Collins was appointed as Chief Marketing Officer at Hippo (NYSE: HIPO), a home insurance group focused on proactive home protection, in December 2024",,Insurtech,,2025-09-11T21:09:35.197Z,2025-09-11T17:52:48.572Z
cmffpi0ez00573z7g7emchwq8,Angela Grant,,Palomar,Chief Legal Officer,,,,,"Angela Grant currently serves as the Chief Legal Officer & Corporate Secretary at Palomar, where she provides strategic advice and oversees legal risks and exposures",,Insurtech,,2025-09-11T21:10:31.229Z,2025-09-11T17:52:48.540Z
cmffpi0a3001o3z7g0jhi9nzs,Ankur Patel,,Multimodal,CEO & Founder,,,,,"Ankur A. Patel is currently the founder & CEO of Multimodal, where he is developing generative AI to automate manual workflows for businesses",,Insurtech,,2025-09-11T21:11:29.894Z,2025-09-11T17:52:48.364Z
cmffpi0c100303z7gzp9235sb,Anthony Habayeb,,founder - Monitaur,CEO and Co,,,,,"His background includes strategic consulting at Accenture and executive roles at Gannett, Monster and Yahoo",,Insurtech,,2025-09-11T21:12:28.494Z,2025-09-11T17:52:48.434Z
cmffpi0ek004s3z7gc18tqmnq,Ashish Srivastava,,Insurance & Risk Management - Blackstone Real Estate,COO,,,,,"He is associated with Revantage, A Blackstone Portfolio Company, and is based in Chicago. He received his education from Northwestern University's Kellogg School of Management",,Insurtech|Risk Management,,2025-09-11T21:13:29.415Z,2025-09-11T17:52:48.524Z
cmffpi0dw00473z7gx6hl8kt8,Benedikt Kalteier,,CLARK,CEO,,,,,,,Insurtech,,2025-09-11T20:44:35.784Z,2025-09-11T17:52:48.501Z
cmffpi0eo004v3z7glml7nk7u,Bill Brower,,Solera,SVP of Global Industry Relations and Claims Solutions,,,,,,,AI|Insurtech|Claims,,2025-09-11T20:44:35.790Z,2025-09-11T17:52:48.529Z
cmffpi0ae001u3z7glzpxnbpo,Bing Wu,,Founder - Retell AI,CEO & Co,,,,,,,AI|Insurtech,,2025-09-11T20:44:35.871Z,2025-09-11T17:52:48.375Z
cmffpi0c300343z7g1bfqrzhd,Bob Bastian,,Prudential Financial,Chief Information & Technology Officer,,,,,,,Insurtech,,2025-09-11T20:44:35.789Z,2025-09-11T17:52:48.436Z
cmffpi08r001a3z7gj4eivgso,Brad VanMiddlesworth,,CNO Financial Group,"VP, Data & Application Management",,,,,,,Insurtech,,2025-09-11T20:44:35.927Z,2025-09-11T17:52:48.315Z
cmffpi0e5004i3z7gn5z3uc0d,Bruce F Broussard Jr,,Percipience,Managing Director,,,,,,,Insurtech,,2025-09-11T20:44:38.175Z,2025-09-11T17:52:48.510Z
cmffpi0b200263z7g3t4k3fbg,Bryan Brizzi,,Crum & Forster,Chief Digital Officer,,,,,,,Insurtech,,2025-09-11T20:44:38.205Z,2025-09-11T17:52:48.399Z
cmffpi0bn002r3z7gzxj11eu4,Busy Cummings,,Moody’s,Sr. Director Mgr-Prod Strategy,,,,,"Unfortunately, I could not find specific information about Busy Cummings in the search results. While there are several employees from Moody's mentioned, none match the specific individual. A more targeted search would be needed to find their professional details and LinkedIn profile.",,Insurtech,,2025-09-11T21:39:25.314Z,2025-09-11T17:52:48.419Z
