Time,Event,Speaker(s),Location,Other Details
8:00am - 9:00am,WIISE Workshop: Registration Opens,,Mandalay Bay Ballroom IWIISE Workshop,
9:00am - 9:20am,WIISE Workshop: Welcome and Registration,,Mandalay Bay Ballroom IWIISE Workshop,
9:20am - 10:00am,WIISE Workshop: The Mirror of Integrity: Lifting Ourselves by Reflecting the Best in Others,,Mandalay Bay Ballroom IWIISE Workshop,
10:00am - 11:00am,WIISE Workshop: The Power of Unleashing Creativity (Keynote),,Mandalay Bay Ballroom IWIISE Workshop,
11:00am - 11:45am,WIISE Workshop: Menafactor Moment,,Mandalay Bay Ballroom IWIISE Workshop,
11:30am - 1:00pm,ITC Vegas Golf Tournament Registration & Check-In,,Bali Hai Golf ClubGolf Tournament,
11:45am - 1:00pm,WIISE Workshop: Lunch,,Mandalay Bay Ballroom IWIISE Workshop,
1:00pm - 5:30pm,ITC Vegas Golf Tournament,,Bali Hai Golf ClubGolf Tournament,AI Recommended
1:00pm - 1:45pm,WIISE Workshop: The Magic of Marketing,,Mandalay Bay Ballroom IWIISE Workshop,
1:45pm - 2:00pm,WIISE Workshop: Warrior Moment,,Mandalay Bay Ballroom IWIISE Workshop,
2:00pm - 2:45pm,WIISE Workshop: Wings Not Weights: How Lifting Others Lightens the Load,,Mandalay Bay Ballroom IWIISE Workshop,
2:45pm - 3:15pm,WIISE Workshop: Ice Breaker,,Mandalay Bay Ballroom IWIISE Workshop,
3:15pm - 4:00pm,WIISE Workshop: Magician Networking Activity,,Mandalay Bay Ballroom IWIISE Workshop,AI Recommended
4:00pm - 4:15pm,WIISE Workshop: Wrap Up,,Mandalay Bay Ballroom IWIISE Workshop,
5:30pm - 7:00pm,ITC Vegas Golf Tournament Happy Hour,,,Tiki Sports Bar at Bali HaiGolf Tournament | AI Recommended
7:00am - 7:00pm,Badge Pickup Hours,,Mandalay Bay Foyer | Level 2Event Information,AI Recommended
7:00am - 8:30am,Breakfast Sponsored by Jackson,,Shoreline | Level 2Event Information,Session Sponsor | Jackson
8:00am - 9:00am,"Breakfast, Bold Ideas, and the Future of Insurance Sponsored by MetLife Xcelerator",Speaker | Javier CabelloSVP - MetLife Xcelerator | MetLife Xcelerator,Mandalay Bay Ballroom FITC LATAM,Session Sponsor
8:30am - 12:00pm,Masterclass: Monetization Strategies for Growth In Partnership with Simon-Kucher,,Oceanside Ballroom BMasterclass Series,
8:45am - 10:00am,Mastering Monetization: Why It Matters and Strategies That Drive Growth,Speaker,Oceanside Ballroom BSimon-Kucher Masterclass,"Michael NadelPartner and Head of North American Insurance Practice - Simon-Kucher & Partners | Sara YamasePartner and Managing Partner of Technology, Media & Telecom - Simon-Kucher & Partners"
9:00am - 1:00pm,Clearspeed Trust Faster Summit (Carriers Only),Speaker | Scott MooreCRO - Clearspeed | Manjit RanaEVP - Clearspeed,Mandalay Bay Ballroom KKickoff Summit DayShow more,Session Sponsor | Clearspeed
9:00am - 5:00pm,ITC Agents & Brokers Expo Floor Open,,Mandalay Bay Ballroom GEvent Information,
9:00am - 9:10am,ITC LATAM Opening Remarks,Speaker | Leonardo RedolfiDirector - 100% Seguro | Hernan FernandezDirector - 100% SEGURO,Mandalay Bay Ballroom FITC LATAM,
9:10am - 9:30am,ITC LATAM Opening Keynote: State of the Insurtech Union,Speaker,Mandalay Bay Ballroom FITC LATAM,Hugues BertinCEO and President - Digital Insurance LATAM and AIP
9:30am - 9:40am,ITC Agents Opening Remarks,"Speaker | Ryan HanleySerial Founder, Speaker, Entrepreneur, Influencer, and Founder - Finding Peak",Mandalay Bay Ballroom EAgents Track,
9:30am - 9:45am,State of the Insurtech Union: From the Investors' Point of View,Speaker | Alex HorvitzCEO - HCS Capital,Mandalay Bay Ballroom FITC LATAM,
9:40am - 10:00am,Escape the Rabbit Hole: Finding Your Way in the Wonderland of Agency AI,"Speaker | Dale SteinkeDirector, Agent for the Future Advisors - Liberty Mutual | Liberty Mutual / Safeco...",Mandalay Bay Ballroom EAgents Track,Session Sponsor
9:40am - 10:00am,State of the Union of Insurance Broking in America,Speaker | Drew AldrichFounder & Managing Partner - Viewpoint Ventures,Mandalay Bay Ballroom H - Brokers TrackBrokers Track,
9:45am - 10:00am,Are Social Impact Alliances a New Solution to Reduce the Insurance Gap in Latin America?,Speaker | Carlos Cendra FalconScouting & Investment Lead - MAPFRE | MAPFRE S.A,Mandalay Bay Ballroom FITC LATAM,Session Sponsor
10:00am - 10:45am,Cracking the Code: What Insurtech Buyers Really Want,"Speaker | Colleen ThomasVP, Business Relationship Management & Innovation - CNA Insurance | Dorothy KellyVP, Innovation - Verisk",Oceanside Ballroom BSimon-Kucher MasterclassShow more,AI Recommended
10:00am - 10:30am,How I Built This: The Bowhead Specialty Story and What’s Next,"Speaker | Garrett KoehnChief Innovation Officer and President, ProExec - CRC Insurance Services | Stephen SillsCEO - Bowhead Specialty",Mandalay Bay Ballroom H - Brokers TrackBrokers Track,
10:00am - 10:30am,The No-Cold-Call Millionaire: How I Wrote $2M in Revenue Without Dialing Once,Speaker | Madison BakerVice President of Business Insurance - Marsh McLennan Agency,Mandalay Bay Ballroom EAgents Track,
10:30am - 10:50am,"Inside the Distribution Shake-Up: How Brokers, MGAs, MGUs & Hybrid Fronting Carriers Can Win the Next Era Presented by Novidea",Speaker | Jeffrey HeineChief Revenue Officer - Novidea,Mandalay Bay Ballroom H - Brokers TrackBrokers Track,Session Sponsor | Novidea
